linguagem,tipo_dado,tamanho,operacao,tempo_segundos
python,inteiro,100,dict_insercao,0.000076
python,inteiro,100,dict_busca,0.000028
python,inteiro,100,dict_remocao,0.000040
python,inteiro,100,sorted,0.000030
python,string,100,dict_insercao,0.000064
python,string,100,dict_busca,0.000027
python,string,100,dict_remocao,0.000034
python,string,100,sorted,0.000038
python,inteiro,1000,dict_insercao,0.000410
python,inteiro,1000,dict_busca,0.000250
python,inteiro,1000,dict_remocao,0.001449
python,inteiro,1000,sorted,0.000281
python,string,1000,dict_insercao,0.000412
python,string,1000,dict_busca,0.000676
python,string,1000,dict_remocao,0.000354
python,string,1000,sorted,0.000500
python,inteiro,10000,dict_insercao,0.005308
python,inteiro,10000,dict_busca,0.003324
python,inteiro,10000,dict_remocao,0.004434
python,inteiro,10000,sorted,0.004436
python,string,10000,dict_insercao,0.004831
python,string,10000,dict_busca,0.003183
python,string,10000,dict_remocao,0.006783
python,string,10000,sorted,0.006764
python,inteiro,100000,dict_insercao,0.051955
python,inteiro,100000,dict_busca,0.045400
python,inteiro,100000,dict_remocao,0.040875
python,inteiro,100000,sorted,0.063889
python,string,100000,dict_insercao,0.054882
python,string,100000,dict_busca,0.037221
python,string,100000,dict_remocao,0.043295
python,string,100000,sorted,0.111613
python,inteiro,1000000,dict_insercao,0.375950
python,inteiro,1000000,dict_busca,0.586250
python,inteiro,1000000,dict_remocao,0.474740
python,inteiro,1000000,sorted,0.854627
python,string,1000000,dict_insercao,0.676981
python,string,1000000,dict_busca,0.515920
python,string,1000000,dict_remocao,0.393280
python,string,1000000,sorted,1.461647
