linguagem,tipo_dado,tamanho,operacao,tempo_segundos,memoria_bytes
c,inteiro,10,hash_insercao,0.000000,4096
c,inteiro,10,hash_busca,0.000000,0
c,inteiro,10,hash_remocao,0.000000,0
c,inteiro,10,insertion_sort,0.000000,0
c,inteiro,10,merge_sort,0.000000,0
c,inteiro,10,quick_sort,0.000000,0
c,string,10,hash_insercao,0.000000,4096
c,string,10,hash_busca,0.000000,0
c,string,10,hash_remocao,0.000000,0
c,string,10,insertion_sort,0.000000,0
c,string,10,merge_sort,0.000000,0
c,string,10,quick_sort,0.000000,0
c,inteiro,1000,hash_insercao,0.000000,12288
c,inteiro,1000,hash_busca,0.000000,0
c,inteiro,1000,hash_remocao,0.000000,0
c,inteiro,1000,insertion_sort,0.000000,0
c,inteiro,1000,merge_sort,0.000000,0
c,inteiro,1000,quick_sort,0.001000,0
c,string,1000,hash_insercao,0.000000,36864
c,string,1000,hash_busca,0.000000,0
c,string,1000,hash_remocao,0.000000,0
c,string,1000,insertion_sort,0.003000,0
c,string,1000,merge_sort,0.002000,0
c,string,1000,quick_sort,0.000000,0
c,inteiro,100000,hash_insercao,0.056000,1605632
c,inteiro,100000,hash_busca,0.000000,0
c,inteiro,100000,hash_remocao,0.000000,0
c,inteiro,100000,insertion_sort,2.893000,0
c,inteiro,100000,merge_sort,0.044000,0
c,inteiro,100000,quick_sort,0.012000,0
c,string,100000,hash_insercao,0.042000,3207168
c,string,100000,hash_busca,0.000000,0
c,string,100000,hash_remocao,0.000000,0
c,string,100000,insertion_sort,30.527000,0
c,string,100000,merge_sort,0.072000,0
c,string,100000,quick_sort,0.049000,0
c,inteiro,1000000,hash_insercao,2.665000,16007168
c,inteiro,1000000,hash_busca,0.000000,0
c,inteiro,1000000,hash_remocao,0.000000,0
c,inteiro,1000000,insertion_sort,-1.000000,0
c,inteiro,1000000,merge_sort,0.871000,0
c,inteiro,1000000,quick_sort,0.177000,0
c,string,1000000,hash_insercao,1.420000,32006144
c,string,1000000,hash_busca,0.000000,0
c,string,1000000,hash_remocao,0.000000,0
c,string,1000000,insertion_sort,-1.000000,0
c,string,1000000,merge_sort,0.970000,0
c,string,1000000,quick_sort,0.780000,0
