linguagem,tipo_dado,tamanho,operacao,tempo_segundos,memoria_bytes
python,inteiro,10,dict_insercao,0.000073,520
python,inteiro,10,dict_busca,0.000003,0
python,inteiro,10,dict_remocao,0.000002,0
python,inteiro,10,sorted,0.000015,80
python,string,10,dict_insercao,0.000022,520
python,string,10,dict_busca,0.000002,0
python,string,10,dict_remocao,0.000002,0
python,string,10,sorted,0.000007,80
python,inteiro,1000,dict_insercao,0.000789,69040
python,inteiro,1000,dict_busca,0.000001,0
python,inteiro,1000,dict_remocao,0.000001,0
python,inteiro,1000,sorted,0.000217,11968
python,string,1000,dict_insercao,0.000849,68976
python,string,1000,dict_busca,0.000002,0
python,string,1000,dict_remocao,0.000001,0
python,string,1000,sorted,0.000314,11968
python,inteiro,100000,dict_insercao,0.200565,10652432
python,inteiro,100000,dict_busca,0.000002,0
python,inteiro,100000,dict_remocao,0.000011,0
python,inteiro,100000,sorted,0.039028,1199840
python,string,100000,dict_insercao,0.141830,10649264
python,string,100000,dict_busca,0.000004,0
python,string,100000,dict_remocao,0.000011,0
python,string,100000,sorted,0.067048,1199840
python,inteiro,1000000,dict_insercao,1.087924,85276080
python,inteiro,1000000,dict_busca,0.000002,0
python,inteiro,1000000,dict_remocao,0.000011,0
python,inteiro,1000000,sorted,0.506550,11999744
python,string,1000000,dict_insercao,1.093891,85272912
python,string,1000000,dict_busca,0.000003,0
python,string,1000000,dict_remocao,0.000010,0
python,string,1000000,sorted,0.919236,11999744
